YEAR,MO,DY,HR,PS,TS,SNODP,WD10M,ALLSKY_SFC_SW_DWN,RH2M,T2MDEW,WS2M,T2M,PRECTOTCORR
2020,1,2,0,102.45,-1.01,12.5,350.4,0.0,93.19,-3.97,3.46,-2.73,0.0
2020,1,2,1,102.46,-1.05,12.5,349.4,0.0,93.36,-3.95,3.18,-2.75,0.0
2020,1,2,2,102.46,-1.05,12.5,346.7,0.0,93.72,-3.85,2.88,-2.71,0.0
2020,1,2,3,102.47,-1.03,12.49,342.0,0.0,94.89,-3.73,2.61,-2.73,0.0
2020,1,2,4,102.49,-1.03,12.59,334.3,0.0,95.73,-3.65,2.42,-2.79,0.0
2020,1,2,5,102.54,-0.83,13.42,326.5,0.0,96.4,-3.46,2.63,-2.7,0.0
2020,1,2,6,102.57,1.04,13.47,320.8,0.19,89.2,-3.19,3.16,-1.52,0.0
2020,1,2,7,102.58,2.88,12.49,312.3,0.58,79.05,-3.15,3.19,-0.02,0.0
2020,1,2,8,102.58,4.38,12.5,307.0,0.92,69.89,-3.26,3.55,1.54,0.0
2020,1,2,9,102.52,5.09,12.48,302.2,1.13,65.92,-3.3,3.69,2.35,0.0
2020,1,2,10,102.45,5.29,12.48,298.6,1.09,63.93,-3.24,3.73,2.82,0.0
2020,1,2,11,102.38,4.98,12.48,295.7,0.89,63.2,-3.23,3.58,3.02,0.0
2020,1,2,12,102.32,4.02,12.48,290.4,0.57,64.02,-3.21,3.14,2.83,0.0
2020,1,2,13,102.29,1.82,12.48,285.4,0.22,71.4,-3.11,2.22,1.44,0.0
2020,1,2,14,102.28,-0.02,12.48,279.3,0.0,79.16,-3.15,2.29,-0.03,0.0
2020,1,2,15,102.28,-0.4,12.48,274.1,0.0,82.72,-2.99,2.42,-0.4,0.0
2020,1,2,16,102.27,-0.23,12.48,269.7,0.0,83.82,-2.82,2.6,-0.4,0.0
2020,1,2,17,102.25,-0.05,12.48,265.2,0.0,84.21,-2.69,2.89,-0.34,0.0
2020,1,2,18,102.22,0.15,12.48,263.4,0.0,84.25,-2.61,3.18,-0.27,0.0
2020,1,2,19,102.2,1.08,12.48,262.8,0.0,81.01,-2.54,3.55,0.32,0.0
2020,1,2,20,102.17,1.55,12.48,262.7,0.0,79.02,-2.52,3.8,0.66,0.0
2020,1,2,21,102.13,1.58,12.48,260.4,0.0,79.21,-2.54,3.81,0.62,0.0
2020,1,2,22,102.06,1.63,12.49,256.7,0.0,79.88,-2.51,3.74,0.54,0.0
2020,1,2,23,102.02,1.66,12.54,254.7,0.0,80.28,-2.47,3.65,0.51,0.0
2020,1,3,0,101.97,1.67,12.76,254.2,0.0,80.81,-2.41,3.53,0.5,0.0
2020,1,3,1,101.89,1.65,13.7,254.3,0.0,81.56,-2.33,3.41,0.45,0.0
2020,1,3,2,101.82,1.4,13.0,257.1,0.0,83.51,-2.26,3.12,0.2,0.0
2020,1,3,3,101.78,0.35,12.48,269.9,0.0,89.83,-2.25,2.9,-0.71,0.0
2020,1,3,4,101.77,-0.25,12.48,283.4,0.0,95.74,-2.28,2.92,-1.48,0.0
2020,1,3,5,101.76,-0.25,12.48,299.0,0.0,98.5,-2.31,3.1,-1.86,0.0
2020,1,3,6,101.77,1.16,12.48,314.4,0.16,93.46,-2.27,3.56,-1.19,0.0
2020,1,3,7,101.77,2.76,12.48,330.3,0.49,85.43,-2.13,3.73,0.01,0.0
2020,1,3,8,101.76,3.89,12.49,341.1,0.81,79.78,-1.89,3.9,1.17,0.0
2020,1,3,9,101.71,4.43,12.48,349.5,0.87,75.39,-1.77,4.09,2.08,0.0
2020,1,3,10,101.64,4.77,12.48,356.4,0.79,72.68,-1.71,4.08,2.67,0.0
2020,1,3,11,101.58,4.81,12.48,0.6,0.87,70.96,-1.68,3.98,3.04,0.0
2020,1,3,12,101.56,4.17,12.48,3.5,0.56,70.89,-1.68,3.77,3.05,0.0
2020,1,3,13,101.54,2.06,12.48,5.3,0.21,77.14,-1.72,2.79,1.82,0.0
2020,1,3,14,101.54,0.17,12.48,7.1,0.0,87.25,-1.77,2.74,0.07,0.0
2020,1,3,15,101.54,0.12,12.48,9.0,0.0,89.58,-1.72,2.93,-0.22,0.0
2020,1,3,16,101.55,0.09,12.48,11.6,0.0,91.5,-1.7,3.06,-0.44,0.0
2020,1,3,17,101.54,0.01,12.49,15.6,0.0,92.97,-1.72,3.05,-0.67,0.0
2020,1,3,18,101.51,-0.09,12.48,20.8,0.0,94.16,-1.81,2.91,-0.9,0.0
2020,1,3,19,101.48,-0.23,12.48,25.3,0.0,95.28,-1.91,2.67,-1.12,0.0
2020,1,3,20,101.46,-0.36,12.49,25.6,0.0,96.43,-1.97,2.46,-1.34,0.0
2020,1,3,21,101.43,-0.45,12.49,23.2,0.0,96.53,-2.06,2.29,-1.43,0.0
2020,1,3,22,101.4,-0.5,12.48,20.6,0.0,96.44,-2.11,2.18,-1.46,0.0
2020,1,3,23,101.37,-0.54,12.48,19.5,0.0,96.03,-2.15,2.09,-1.45,0.0
2020,1,4,0,101.33,-0.61,12.48,18.5,0.0,95.54,-2.2,1.94,-1.43,0.0
2020,1,4,1,101.26,-0.67,12.48,14.3,0.0,94.94,-2.24,1.8,-1.4,0.0
2020,1,4,2,101.22,-0.69,12.48,6.6,0.0,94.44,-2.28,1.7,-1.38,0.0
2020,1,4,3,101.19,-0.56,12.49,358.6,0.0,94.12,-2.32,1.7,-1.38,0.0
2020,1,4,4,101.19,-0.54,12.49,352.3,0.0,94.45,-2.4,1.76,-1.46,0.0
2020,1,4,5,101.21,-0.43,12.48,348.2,0.0,94.03,-2.52,1.7,-1.52,0.0
2020,1,4,6,101.23,1.15,12.48,341.5,0.08,88.1,-2.62,1.83,-0.85,0.0
2020,1,4,7,101.23,2.82,12.48,336.3,0.27,80.48,-2.74,2.02,0.19,0.0
2020,1,4,8,101.22,4.23,12.48,331.0,0.43,74.13,-2.85,1.88,1.19,0.0
2020,1,4,9,101.15,5.18,12.48,324.4,0.53,69.27,-2.91,1.76,2.08,0.0
2020,1,4,10,101.06,5.65,12.48,319.2,0.59,64.54,-3.02,1.67,2.92,0.0
2020,1,4,11,101.0,5.44,12.48,312.5,0.58,62.04,-3.03,1.6,3.47,0.0
2020,1,4,12,100.99,4.38,12.48,300.9,0.38,63.21,-2.75,1.41,3.53,0.0
2020,1,4,13,100.98,1.84,12.48,281.8,0.17,69.42,-2.65,1.33,2.3,0.0
2020,1,4,14,100.99,0.17,12.48,275.5,0.0,75.01,-2.74,1.86,1.13,0.0
2020,1,4,15,100.98,0.72,12.48,280.2,0.0,76.51,-2.4,2.24,1.21,0.01
2020,1,4,16,100.97,1.5,12.48,291.6,0.0,76.18,-1.92,2.61,1.79,0.03
2020,1,4,17,100.95,1.67,12.48,301.0,0.0,79.2,-1.27,2.86,1.95,0.04
2020,1,4,18,100.91,1.58,12.48,304.8,0.0,83.91,-0.6,2.93,1.81,0.07
2020,1,4,19,100.89,1.46,12.48,307.7,0.0,88.57,-0.05,2.95,1.62,0.06
2020,1,4,20,100.87,1.43,12.48,310.3,0.0,91.55,0.31,3.01,1.52,0.05
2020,1,4,21,100.85,1.35,12.48,313.6,0.0,93.75,0.44,3.02,1.33,0.05
2020,1,4,22,100.82,1.33,12.48,318.1,0.0,94.94,0.45,3.06,1.15,0.06
2020,1,4,23,100.8,1.52,12.48,322.7,0.0,95.31,0.47,3.05,1.13,0.1
2020,1,5,0,100.79,1.54,12.48,325.5,0.0,96.09,0.5,3.01,1.05,0.21
2020,1,5,1,100.78,1.58,12.48,326.9,0.0,96.61,0.54,2.97,1.01,0.39
2020,1,5,2,100.79,1.62,12.48,327.5,0.0,96.62,0.55,2.75,1.01,0.51
2020,1,5,3,100.81,1.56,12.48,326.8,0.0,97.02,0.51,2.64,0.92,0.62
2020,1,5,4,100.85,1.64,13.72,326.4,0.0,96.94,0.45,2.85,0.9,0.85
2020,1,5,5,100.87,1.7,17.33,327.0,0.0,96.26,0.33,3.14,0.86,1.07
2020,1,5,6,100.92,2.12,17.33,328.8,0.09,93.81,0.17,3.35,1.08,1.1
2020,1,5,7,100.94,2.65,17.33,330.7,0.24,90.43,0.0,3.43,1.41,1.15
2020,1,5,8,100.96,3.06,17.33,331.1,0.37,88.06,-0.05,3.26,1.71,1.21
2020,1,5,9,100.95,3.42,12.48,331.5,0.43,85.61,-0.03,3.32,2.14,1.07
2020,1,5,10,100.96,3.64,12.48,333.0,0.48,83.43,0.03,3.44,2.54,0.77
2020,1,5,11,100.97,3.61,12.48,333.7,0.33,83.13,0.17,3.31,2.74,0.52
2020,1,5,12,101.04,3.08,12.48,334.1,0.23,84.98,0.3,3.04,2.55,0.45
2020,1,5,13,101.12,2.2,12.48,336.4,0.11,89.06,0.33,3.18,1.94,0.48
2020,1,5,14,101.21,1.76,12.48,339.9,0.0,91.86,0.33,3.57,1.52,0.49
2020,1,5,15,101.28,1.88,12.48,344.2,0.0,91.53,0.36,3.94,1.58,0.43
2020,1,5,16,101.34,1.95,12.48,351.1,0.0,90.85,0.26,4.08,1.62,0.25
2020,1,5,17,101.38,1.77,12.48,358.8,0.0,91.59,0.21,4.0,1.44,0.14
2020,1,5,18,101.4,1.52,12.48,4.2,0.0,93.92,0.23,3.89,1.13,0.06
2020,1,5,19,101.46,1.41,12.49,9.6,0.0,96.08,0.37,3.93,0.93,0.05
2020,1,5,20,101.53,1.41,12.55,17.4,0.0,98.09,0.57,3.94,0.83,0.04
2020,1,5,21,101.62,1.4,12.95,25.2,0.0,99.18,0.63,3.8,0.76,0.04
2020,1,5,22,101.69,1.25,13.6,28.0,0.0,99.28,0.5,3.66,0.58,0.03
2020,1,5,23,101.76,1.07,12.86,25.2,0.0,99.08,0.21,3.72,0.33,0.02
2020,1,6,0,101.82,0.79,12.66,19.9,0.0,99.05,-0.16,3.94,-0.02,0.0
2020,1,6,1,101.85,0.53,13.34,16.0,0.0,99.04,-0.54,4.29,-0.38,0.0
2020,1,6,2,101.9,0.4,14.04,14.4,0.0,98.25,-0.92,4.69,-0.62,0.0
2020,1,6,3,101.95,0.4,14.58,13.4,0.0,98.51,-1.11,5.17,-0.82,0.01
2020,1,6,4,102.01,0.55,16.92,12.5,0.0,98.73,-1.18,5.6,-0.91,0.01
2020,1,6,5,102.08,0.65,17.33,9.4,0.0,98.84,-1.3,5.57,-1.02,0.02
2020,1,6,6,102.17,1.39,17.33,7.6,0.11,96.35,-1.13,5.66,-0.56,0.04
2020,1,6,7,102.24,2.53,17.33,10.7,0.3,92.42,-0.74,5.98,0.34,0.04
2020,1,6,8,102.28,3.71,14.3,16.4,0.45,85.85,-0.46,6.08,1.64,0.1
2020,1,6,9,102.25,4.44,12.48,21.0,0.5,78.25,-0.62,6.3,2.78,0.1
2020,1,6,10,102.2,4.85,12.48,21.2,0.58,71.56,-1.1,6.46,3.55,0.1
2020,1,6,11,102.15,4.63,12.48,19.6,0.53,67.56,-1.64,6.51,3.77,0.07
2020,1,6,12,102.14,4.18,12.48,17.4,0.36,66.66,-1.9,6.09,3.7,0.02
2020,1,6,13,102.17,2.89,12.48,15.5,0.16,70.03,-1.99,5.1,2.92,0.01
2020,1,6,14,102.19,1.24,12.48,13.6,0.0,77.93,-2.07,4.58,1.34,0.0
2020,1,6,15,102.21,1.02,12.48,13.0,0.0,80.13,-2.24,5.27,0.78,0.0
2020,1,6,16,102.22,0.73,12.55,12.9,0.0,82.03,-2.52,5.54,0.15,0.0
2020,1,6,17,102.25,0.25,12.73,11.6,0.0,85.97,-2.77,5.22,-0.67,0.0
2020,1,6,18,102.26,-0.09,12.61,9.3,0.0,89.04,-2.99,5.03,-1.29,0.0
2020,1,6,19,102.27,-0.32,12.54,6.7,0.0,91.52,-3.13,5.01,-1.74,0.0
2020,1,6,20,102.27,-0.5,12.52,4.6,0.0,93.35,-3.27,5.03,-2.1,0.0
2020,1,6,21,102.24,-0.62,12.55,2.6,0.0,94.64,-3.37,5.04,-2.35,0.0
2020,1,6,22,102.21,-0.69,12.56,0.4,0.0,95.48,-3.42,5.14,-2.5,0.0
2020,1,6,23,102.2,-0.74,12.55,359.1,0.0,96.12,-3.45,5.24,-2.58,0.0
2020,1,7,0,102.18,-0.81,12.59,358.7,0.0,96.41,-3.5,5.11,-2.66,0.0
2020,1,7,1,102.18,-1.07,12.53,358.3,0.0,97.05,-3.54,4.67,-2.78,0.0
2020,1,7,2,102.17,-1.29,12.57,357.8,0.0,97.59,-3.6,4.45,-2.93,0.0
2020,1,7,3,102.16,-1.44,12.5,359.2,0.0,98.56,-3.68,4.46,-3.09,0.0
2020,1,7,4,102.18,-1.56,12.63,1.8,0.0,98.59,-3.82,4.43,-3.26,0.0
2020,1,7,5,102.21,-1.63,12.51,3.5,0.0,99.0,-3.93,4.43,-3.39,0.0
2020,1,7,6,102.24,-0.59,12.48,4.2,0.19,94.44,-3.97,4.68,-2.87,0.0
2020,1,7,7,102.25,1.26,12.48,10.3,0.6,79.05,-4.53,4.76,-1.27,0.0
2020,1,7,8,102.26,2.89,12.48,28.5,0.99,59.19,-6.13,5.52,0.71,0.0
2020,1,7,9,102.24,3.76,12.48,27.4,1.22,54.46,-6.45,5.55,1.5,0.0
2020,1,7,10,102.19,4.14,12.48,23.4,1.2,52.25,-6.53,5.47,2.01,0.0
2020,1,7,11,102.17,3.93,12.48,19.5,1.03,51.27,-6.59,5.47,2.21,0.0
2020,1,7,12,102.17,3.09,12.48,17.0,0.7,51.81,-6.63,5.45,2.0,0.0
2020,1,7,13,102.19,1.38,12.48,15.3,0.32,56.31,-6.48,4.83,1.03,0.0
2020,1,7,14,102.21,-0.69,12.48,14.0,0.0,65.96,-6.29,4.17,-0.85,0.0
2020,1,7,15,102.24,-0.93,12.48,15.6,0.0,68.9,-6.24,4.28,-1.32,0.0
2020,1,7,16,102.29,-1.13,12.48,18.6,0.0,70.86,-6.23,4.25,-1.65,0.0
2020,1,7,17,102.33,-1.33,12.48,22.0,0.0,72.68,-6.24,4.17,-1.95,0.0
2020,1,7,18,102.36,-1.48,12.48,24.4,0.0,73.86,-6.25,4.12,-2.19,0.0
2020,1,7,19,102.38,-1.6,12.48,24.5,0.0,75.45,-6.23,4.06,-2.39,0.0
2020,1,7,20,102.39,-1.68,12.48,22.4,0.0,76.53,-6.18,4.07,-2.56,0.0
2020,1,7,21,102.38,-1.77,12.48,19.3,0.0,78.1,-6.13,4.03,-2.75,0.0
2020,1,7,22,102.37,-1.85,12.48,15.8,0.0,79.97,-6.08,4.04,-2.93,0.0
2020,1,7,23,102.38,-1.88,12.48,12.7,0.0,81.34,-6.03,4.19,-3.08,0.0
2020,1,8,0,102.39,-1.95,12.48,10.2,0.0,82.52,-6.01,4.34,-3.25,0.0
2020,1,8,1,102.4,-2.12,12.48,8.8,0.0,84.07,-6.05,4.47,-3.52,0.0
2020,1,8,2,102.42,-2.3,12.48,8.5,0.0,86.18,-6.1,4.61,-3.86,0.0
2020,1,8,3,102.46,-2.5,12.48,8.4,0.0,88.19,-6.2,4.65,-4.23,0.0
2020,1,8,4,102.5,-2.7,12.48,7.9,0.0,90.18,-6.33,4.58,-4.59,0.0
2020,1,8,5,102.53,-2.84,12.48,7.2,0.0,90.77,-6.5,4.48,-4.87,0.0
2020,1,8,6,102.58,-1.91,12.48,7.7,0.21,86.06,-6.73,4.7,-4.45,0.0
2020,1,8,7,102.62,-0.32,12.48,10.5,0.63,75.87,-7.02,4.73,-3.23,0.0
2020,1,8,8,102.62,1.39,12.48,14.8,1.08,66.09,-7.09,4.87,-1.64,0.0
2020,1,8,9,102.57,2.66,12.48,18.7,1.26,58.54,-7.15,5.11,-0.24,0.0
2020,1,8,10,102.51,3.41,12.48,16.8,1.29,54.5,-7.05,5.11,0.77,0.0
2020,1,8,11,102.47,3.58,12.48,14.7,1.05,52.19,-6.89,5.06,1.56,0.0
2020,1,8,12,102.46,3.08,12.48,13.4,0.71,52.6,-6.52,4.76,1.89,0.0
2020,1,8,13,102.46,1.38,12.48,11.0,0.27,58.53,-5.89,3.49,1.13,0.0
2020,1,8,14,102.46,-0.5,12.48,6.2,0.01,66.53,-5.8,2.86,-0.46,0.0
2020,1,8,15,102.48,-0.68,12.48,2.7,0.0,68.79,-5.63,2.87,-0.71,0.0
2020,1,8,16,102.51,-0.93,12.48,1.9,0.0,71.07,-5.48,2.89,-0.95,0.0
2020,1,8,17,102.53,-1.23,12.48,2.9,0.0,73.59,-5.35,2.81,-1.27,0.0
2020,1,8,18,102.52,-1.55,12.48,4.1,0.0,76.75,-5.25,2.64,-1.63,0.0
2020,1,8,19,102.5,-1.82,12.48,3.7,0.0,79.12,-5.16,2.5,-1.95,0.0
2020,1,8,20,102.47,-2.07,12.48,2.3,0.0,81.3,-5.1,2.33,-2.23,0.0
2020,1,8,21,102.44,-2.31,12.48,359.8,0.0,83.31,-5.05,2.1,-2.43,0.0
2020,1,8,22,102.41,-2.5,12.48,354.5,0.0,84.6,-4.99,1.9,-2.57,0.0
2020,1,8,23,102.38,-2.63,12.48,349.1,0.0,86.06,-4.92,1.81,-2.73,0.0
2020,1,9,0,102.36,-2.74,12.48,345.8,0.0,87.96,-4.84,1.78,-2.9,0.0
2020,1,9,1,102.32,-2.86,12.48,341.6,0.0,88.86,-4.8,1.65,-2.98,0.0
2020,1,9,2,102.28,-3.0,12.48,332.5,0.0,88.45,-4.81,1.45,-2.93,0.0
2020,1,9,3,102.25,-2.77,12.48,317.4,0.0,87.27,-4.85,1.27,-2.82,0.0
2020,1,9,4,102.22,-2.3,12.48,301.0,0.0,86.72,-4.84,1.27,-2.7,0.0
2020,1,9,5,102.22,-1.96,12.48,294.3,0.0,87.2,-4.78,1.5,-2.72,0.0
2020,1,9,6,102.24,-0.78,12.48,294.4,0.18,83.71,-4.7,1.94,-2.14,0.0
2020,1,9,7,102.24,0.78,12.48,289.6,0.47,77.32,-4.78,2.29,-1.28,0.0
2020,1,9,8,102.23,2.45,12.48,276.0,0.63,69.12,-4.89,2.23,-0.02,0.0
2020,1,9,9,102.16,3.9,12.48,268.7,0.67,60.06,-5.13,2.48,1.64,0.0
2020,1,9,10,102.08,4.06,12.48,265.2,0.66,56.8,-5.12,2.42,2.41,0.05
2020,1,9,11,102.02,2.95,12.48,262.5,0.57,59.53,-4.63,2.09,2.29,0.19
2020,1,9,12,101.99,2.17,12.48,266.6,0.41,65.06,-3.95,1.78,1.77,0.06
2020,1,9,13,101.99,1.66,12.48,277.9,0.17,67.24,-3.84,1.88,1.46,0.02
2020,1,9,14,101.99,0.55,12.48,284.1,0.01,70.16,-4.04,2.03,0.67,0.01
2020,1,9,15,102.0,0.87,12.48,293.2,0.0,72.2,-3.61,2.31,0.72,0.02
2020,1,9,16,102.01,0.82,12.48,300.3,0.0,75.87,-3.12,2.55,0.56,0.02
2020,1,9,17,102.0,0.74,12.48,302.5,0.0,79.31,-2.73,2.62,0.36,0.0
2020,1,9,18,101.98,0.7,12.48,303.3,0.0,81.83,-2.46,2.65,0.24,0.0
2020,1,9,19,101.99,0.72,12.48,307.6,0.0,82.88,-2.29,2.82,0.24,0.02
2020,1,9,20,101.98,1.03,12.71,309.4,0.0,82.2,-2.19,2.85,0.44,0.03
2020,1,9,21,101.95,1.03,13.0,309.3,0.0,82.64,-2.14,2.57,0.45,0.02
2020,1,9,22,101.9,0.81,12.52,308.2,0.0,83.87,-2.13,2.19,0.24,0.01
2020,1,9,23,101.88,0.71,12.48,307.4,0.0,85.36,-2.07,1.95,0.08,0.02
2020,1,10,0,101.85,0.6,12.48,303.7,0.0,86.6,-2.01,1.67,-0.07,0.04
2020,1,10,1,101.84,0.58,12.48,302.2,0.0,87.56,-1.94,1.5,-0.13,0.06
2020,1,10,2,101.84,0.66,14.91,302.9,0.0,87.74,-1.85,1.29,-0.08,0.09
2020,1,10,3,101.85,0.86,17.33,303.3,0.0,87.44,-1.76,1.1,0.04,0.11
2020,1,10,4,101.85,1.04,17.33,299.3,0.0,87.67,-1.65,0.98,0.13,0.13
2020,1,10,5,101.85,1.18,17.33,287.6,0.0,87.68,-1.55,0.95,0.21,0.12
2020,1,10,6,101.86,1.87,17.33,273.1,0.14,86.21,-1.45,1.16,0.57,0.08
2020,1,10,7,101.87,2.66,13.77,261.7,0.29,83.47,-1.35,1.42,1.1,0.07
2020,1,10,8,101.86,3.35,12.48,259.2,0.37,81.01,-1.09,1.72,1.8,0.17
2020,1,10,9,101.82,3.52,12.48,262.2,0.4,79.95,-0.85,1.82,2.22,0.35
2020,1,10,10,101.78,3.61,12.48,259.3,0.38,79.68,-0.68,1.68,2.46,0.3
2020,1,10,11,101.74,3.8,12.48,249.6,0.33,78.79,-0.58,1.49,2.73,0.12
2020,1,10,12,101.72,3.54,12.48,235.5,0.26,77.89,-0.57,1.22,2.89,0.04
2020,1,10,13,101.71,2.02,12.48,217.6,0.12,80.66,-0.72,1.02,2.24,0.02
2020,1,10,14,101.72,0.82,12.48,207.8,0.01,82.78,-0.91,1.28,1.68,0.01
2020,1,10,15,101.75,0.78,12.48,208.8,0.0,83.52,-0.99,1.47,1.48,0.0
2020,1,10,16,101.76,1.02,12.48,213.5,0.0,83.71,-1.02,1.69,1.45,0.0
2020,1,10,17,101.75,1.2,12.48,218.3,0.0,82.98,-1.1,1.88,1.49,0.0
2020,1,10,18,101.73,1.29,12.48,222.3,0.0,81.9,-1.22,2.05,1.55,0.0
2020,1,10,19,101.73,1.13,12.48,226.8,0.0,82.36,-1.25,2.18,1.43,0.0
2020,1,10,20,101.74,0.94,12.48,232.1,0.0,84.05,-1.2,2.26,1.23,0.0
2020,1,10,21,101.72,0.7,12.48,236.7,0.0,85.56,-1.16,2.21,1.02,0.0
2020,1,10,22,101.71,0.84,12.48,240.1,0.0,85.86,-1.06,2.1,1.05,0.0
2020,1,10,23,101.69,1.0,12.48,243.8,0.0,85.9,-0.99,1.96,1.12,0.0
2020,1,11,0,101.68,0.76,12.48,250.6,0.0,86.64,-1.03,1.82,0.96,0.0
2020,1,11,1,101.65,0.48,12.48,260.3,0.0,87.56,-1.12,1.69,0.73,0.0
2020,1,11,2,101.62,0.23,12.48,270.5,0.0,87.28,-1.29,1.6,0.57,0.0
2020,1,11,3,101.63,0.05,12.48,279.3,0.0,88.29,-1.37,1.58,0.33,0.0
2020,1,11,4,101.64,-0.29,12.48,288.4,0.0,91.06,-1.34,1.67,-0.08,0.0
2020,1,11,5,101.65,-0.45,12.48,297.4,0.0,95.5,-1.16,1.86,-0.48,0.0
2020,1,11,6,101.66,1.2,12.48,303.7,0.19,92.41,-0.74,2.39,0.34,0.0
2020,1,11,7,101.65,2.68,12.48,304.3,0.48,88.98,-0.39,3.04,1.21,0.0
2020,1,11,8,101.65,4.01,12.48,300.7,0.72,85.33,-0.03,3.0,2.17,0.0
2020,1,11,9,101.6,5.0,12.48,303.9,0.87,79.91,0.44,3.34,3.57,0.01
2020,1,11,10,101.57,5.37,12.48,311.1,0.8,75.58,0.81,3.87,4.72,0.02
2020,1,11,11,101.58,4.89,12.48,314.3,0.68,77.32,1.21,3.94,4.82,0.06
2020,1,11,12,101.6,4.3,12.48,314.7,0.49,81.17,1.62,3.83,4.54,0.1
2020,1,11,13,101.62,3.32,12.48,312.9,0.22,87.0,1.94,3.71,3.89,0.12
2020,1,11,14,101.67,2.23,12.48,310.4,0.02,93.3,1.99,3.83,2.94,0.03
2020,1,11,15,101.71,2.16,12.48,313.1,0.0,93.48,1.89,4.46,2.82,0.0
2020,1,11,16,101.72,1.98,12.48,314.7,0.0,94.58,1.79,4.77,2.56,0.0
2020,1,11,17,101.76,1.7,12.48,315.5,0.0,97.46,1.77,4.74,2.11,0.0
2020,1,11,18,101.79,1.41,12.48,314.7,0.0,100.0,1.8,4.57,1.64,0.0
2020,1,11,19,101.81,1.31,12.48,310.7,0.0,100.0,1.8,4.48,1.38,0.0
2020,1,11,20,101.82,1.6,12.48,307.0,0.0,100.0,1.68,4.76,1.38,0.0
2020,1,11,21,101.84,2.11,12.48,308.4,0.0,99.76,1.51,5.09,1.53,0.01
2020,1,11,22,101.87,2.25,12.48,313.1,0.0,98.89,1.43,5.24,1.59,0.02
2020,1,11,23,101.91,2.28,12.48,318.1,0.0,98.57,1.34,5.21,1.54,0.03
2020,1,12,0,101.96,2.3,12.48,326.9,0.0,98.28,1.29,5.18,1.52,0.02
2020,1,12,1,101.98,2.27,12.48,338.1,0.0,98.62,1.42,4.98,1.61,0.01
2020,1,12,2,102.03,2.16,12.48,349.3,0.0,98.93,1.4,4.92,1.54,0.01
2020,1,12,3,102.11,1.96,12.48,354.8,0.0,98.44,0.92,5.11,1.14,0.02
2020,1,12,4,102.19,1.22,12.7,357.5,0.0,98.33,0.21,5.02,0.42,0.01
2020,1,12,5,102.26,0.61,13.94,356.3,0.0,99.57,-0.43,4.81,-0.33,0.01
2020,1,12,6,102.33,1.71,12.83,356.9,0.24,94.06,-0.73,5.3,0.11,0.0
2020,1,12,7,102.41,2.92,12.48,359.2,0.67,85.59,-1.04,5.39,1.11,0.0
2020,1,12,8,102.46,4.19,12.48,1.9,1.05,73.69,-1.84,5.29,2.33,0.0
2020,1,12,9,102.44,5.12,12.48,1.7,1.26,64.28,-2.74,4.89,3.31,0.0
